latitude,longitude,title,description,category,timestamp
40.7128,-74.0060,New York City,The Big Apple - Financial and cultural center,attraction,2023-01-15
34.0522,-118.2437,Los Angeles,City of Angels - Entertainment capital,attraction,2023-02-20
41.8781,-87.6298,Chicago,Windy City - Architecture and culture,attraction,2023-03-10
29.7604,-95.3698,Houston,Space City - NASA and energy hub,attraction,2023-04-05
33.7490,-84.3880,Atlanta,The A - Southern hospitality,attraction,2023-05-12
37.7749,-122.4194,San Francisco,Golden Gate City - Tech and culture,attraction,2023-06-18
25.7617,-80.1918,Miami,Magic City - Beaches and nightlife,attraction,2023-07-22
39.9526,-75.1652,Philadelphia,City of Brotherly Love - History and culture,attraction,2023-08-30
32.7767,-96.7970,Dallas,Big D - Business and culture,attraction,2023-09-14
40.4406,-79.9959,Pittsburgh,Steel City - Industry and innovation,attraction,2023-10-08 